thermax,थरमैक्स,थर्मैक्स
nibhaaegee,निभाएगी,निभागी
myers,मयर्स,मीयर्स
kashyap,कश्यप,काश्प
brigadier,ब्रिगेडियर,ब्रिगेडर
ambikaaon,अम्बिकाओं,अंबिकाओं
hogaah,होगाः,होगाह
ishaak,इशाक,ईशक
sumi,सुमि,सुमी
deshbhaktimaya,देशभक्तिमय,देशभक्त्रिया
dharmapatriyaan,धर्मपत्रियां,धर्मपत्रियां
krishnanagar,कृष्णानगर,कृष्णनगर
ea,ईए,ईएएए
aayudhnirmaanee,आयुधनिर्माणी,आयुध्निर्मणे
taaja,ताजा,ताजा
ajasra,अजस्र,अजसरा
fijulkharchi,फिजूलखर्ची,फिजुलखर्की
mantrayon,मंत्रयों,मंत्रयों
tanta,तांता,टैनटा
dealership,डीलरशिप,डीलर्श
chapel,चैपल,चेपेल
dhwanimikon,ध्वनिमिकों,ध्वनिमोक
education,एजुकेशन,इडुकेशन
jarakh,जरख,जरख
neet,नीट,नीत
jilawaasiyon,जिलावासियों,जिलावासियों
samprabhuta,संप्रभुता,संप्रभूता
kasegaa,कसेगा,कसेगा
pakanevala,पकानेवाला,पकनेवाला
deepn,दीपन,दीप
kalasaanaa,कलसाना,कलासाना
mugaalataa,मुगालता,मुगालता
tokne,टोकने,टोकने
falibhoot,फलीभूत,फालभूत
gyonth,ग्योंठ,ज्ञोन्थ
dikhaai,दिखार्इ,दिखाई
shaamjeebhaaee,शामजीभाई,शामझीभा
pahnaakar,पहनाकर,पहनाकर
kisaani,किसानी,किसानी
udhaaradaataaon,उधारदाताओं,उधारदताओं
ramtek,रामटेक,रामतेक
wyaakhyaatmaktaa,व्याख्यात्मकता,व्याख्यात्मकता
somvaar,साेमवार,सोमवार
vista,विस्टा,विस्टा
polimer,पॉलिमर,पोलिमर
raktaabh,रक्ताभ,रक्तभ
bhugta,भुगता,भूगता
bhrashtachareeyon,भ्रष्टाचारीयों,भ्रष्टाचार्यों
khatakti,खटकती,खटक्ति
mukhyamantriyon,मुख्यमन्त्रियों,मुख्यमंत्रियों
mad,मैड,मद
kakshaang,कक्षांग,ककशांग
jain,जैन,जैन
mahin,महीन,महिन
survana,सुर्वणा,सूरवाना
baangarotiya,बांगरोटिया,बाँगरोतिया
rasaayanik,रसायनिक,रसायकिन
aurora,औरोरा,औरोरा
chamchagiree,चमचागिरी,चामचागेरी
ncrwc,एनसीआरडब्ल्यूसी,एनसीआरसी
ainthey,ऐंठे,एंथे
essel,एस्सेल,एसेल
deshsewa,देशसेवा,देशसेवा
ilectrotecs,इलेक्ट्रोटेक्स,इलेक्ट्रोटेक्स
workcharge,वर्कचार्ज,वरकार्ज
kaarwaai,कार्वाई,कारवाई
jhanktaa,झांकता,झंकता
urgent,अर्जेंट,अर्जेंट
sapraman,सप्रमाण,सप्रमण
maurya,मौर्यों,मौर्य
jini,जिनी,जिनी
jagadeeshachandra,जगदीशचंद्र,जगदिश्चांद्रा
asurakshit,असुरक्षित,असुरक्षित
kaavyoktiyaan,काव्योक्तियां,काँव्यक्तियां
alnkaar,अलंकार,अलंकर
svadpremiyon,स्वादप्रेमियों,स्वप्रेमियों
jaatak,जातक,जातक
rollers,रोलर्स,रोलर्स
ashaktataa,अशक्तता,अशक्तता
kaathiyavadee,काठियावड़ी,काठियादावादी
aavriti,आवृत्ति,आवृति
vidyaayein,विद्याएं,विद्यायें
vidhivat,विधिवत,विधिवत
raadhe,राधे,राधे
mukhyamantrisamvaaddaata,मुख्यमंत्रीसंवाददाता,मुख्यमंद्रतिज्ञा
praansangalee,प्राणसंगली,प्राँसगली
kanalog,कनलोग,कनलोग
pudukkottai,पुदुकोट्टई,पुडुक्टेटिया
nicky,निकी,एकी
fuhadtaa,फूहड़ता,फुहाद्ता
patachep,पटाक्षेप,पचाचेप
retreate,रीट्वीट,रेट्रेट
manovaigyaaniyon,मनोवैज्ञानियों,मनोवैज्ञानियो
stanadhari,स्तनधारी,स्तनाधरी
mukhyopadhyaay,मुखोपाध्याय,मुख्योपद्धयाय
nirbaadh,निर्बाध,निरबाध
todne,तोडऩे,टॉडन
avuti,आवृत्ति,अवुति
parikshankartaon,परीक्षणकर्ताओं,परिक्षणकर्ताओं
extactor,एक्सटेक्टर,एक्सटैक्टर
nashik,नाशिक,नशिक
rasayanon,रसायनों,रसायनों
vaitravati,वैत्रवती,वैत्रावती
ogrenaaij,ऑग्रेनाइज,ओग्रेनाइज
chausingha,चौसिंगा,चौसिंघा
phalodi,फलोदी,फलोड़ी
skhalan,स्खलन,स्खलन
panaamaa,पनामा,पनामा
nigar,निगर,निगर
monte,मोंटे,मोनटे
suneeti,सुनीति,सुनिति
shrabon,शराबों,श्रबोन
ambikaon,अम्बिकाओं,अंबिकाओं
gujara,गुजारा,गुजरा
photofrem,फोटोफ्रेम,फोटोफ्रेम
prahlaad,प्रहलाद,प्हरहाल
beesavaan,बीसवां,बीसवान
dvivedi,द्विवेदी,द्विदे
denewaali,देनेवाली,देनेवाली
burleson,बर्ल्सन,बुर्सन
bharadwaj,भारद्वाज,भारद्वज
jataati,जताती,जटाती
malegaon,मालेगांव,मालेगां
rahugaan,रहुगाँ,रहुगां
mahamantra,महामंत्र,महामंत्रा
beast,बीस्ट,बीएसटी
divyata,दिव्यता,दिव्यता
sanjivan,संजीवन,संजीवन
kuposhit,कुपोषित,कुपोषित
eksclation,एक्सक्लेशन,एक्सकेलेशन
chadhega,चढ़ेगा,चढेगा
texarkana,टेक्सरकाना,टेक्कर्सना
dungerpur,डूंगरपुर,डुंगपर
sarahi,सराही,सराही
laalaparee,लालपरी,लालपरी
aeronautics,एरोनॉटिक्स,एरोनॉटिक्स
worth,वर्थ,वूर्थ
aasteen,आस्तीन,आस्तीन
svapnika,स्वप्निका,स्वप्निका
upakaaryaalayon,उपकार्यालयों,उपकर्यालयों
mimicry,मिमिक्री,मीमिक्री
ballabh,बल्लभ,बल्लभ
veriphication,वैरीफ़िकेशन,वेरिफिकेशन
